,,Measured Temperature,,,
Date Time,Tout,AllTin,OtherAvT,ROOM1,GasUsed
11/1/2018 0:00,7.983,14.31663636,14.3733,13.75,0
11/1/2018 1:00,8.082,14.22954545,14.2871,13.654,0
11/1/2018 2:00,8.182,14.14227273,14.2007,13.558,0
11/1/2018 3:00,8.481,14.07263636,14.1241,13.558,0
11/1/2018 4:00,8.581,13.994,14.0473,13.461,0
11/1/2018 5:00,8.481,13.933,13.9802,13.461,0
11/1/2018 6:00,8.68,13.84572727,13.8938,13.365,0
11/1/2018 7:00,8.779,13.81072727,13.8553,13.365,0
11/1/2018 8:00,9.275,13.76709091,13.8169,13.269,0
11/1/2018 9:00,9.669,13.74081818,13.788,13.269,0
11/1/2018 10:00,9.077,13.70581818,13.7495,13.269,0
11/1/2018 11:00,9.373,14.18536364,14.2001,14.038,0
11/1/2018 12:00,10.651,14.82927273,14.7458,15.664,0
11/1/2018 13:00,11.236,15.01172727,14.9274,15.855,2.227082666
11/1/2018 14:00,10.259,15.15963636,15.0615,16.141,2.0043744
11/1/2018 15:00,9.965,15.41145455,15.3003,16.523,3.674686399
11/1/2018 16:00,8.581,15.42,15.3193,16.427,0.779478933
11/1/2018 17:00,6.573,15.29027273,15.167,16.523,0
11/1/2018 18:00,5.45,14.91690909,14.8326,15.76,13.91926667
11/1/2018 19:00,3.788,16.32281818,16.2743,16.808,2.338436799
11/1/2018 20:00,3.367,16.47018182,16.3983,17.189,8.128851733
11/1/2018 21:00,2.73,16.73018182,16.6748,17.284,3.229269867
11/1/2018 22:00,3.049,16.88590909,16.8175,17.57,1.0021872
11/1/2018 23:00,3.788,16.50518182,16.4558,16.999,2.0043744
11/2/2018 0:00,3.472,16.254,16.2367,16.427,0.111354133
11/2/2018 1:00,3.367,15.81172727,15.7978,15.951,2.227082667
11/2/2018 2:00,3.049,15.75963636,15.7692,15.664,1.781666133
11/2/2018 3:00,2.73,15.55127273,15.5686,15.378,0.445416533
11/2/2018 4:00,2.943,15.27336364,15.2916,15.091,2.3384368
11/2/2018 5:00,3.261,15.291,15.3205,14.996,1.781666133
11/2/2018 6:00,3.049,15.05627273,15.0815,14.804,12.80572533
11/2/2018 7:00,3.049,16.323,16.3221,16.332,3.340624
11/2/2018 8:00,4.102,16.58309091,16.532,17.094,6.235831467
11/2/2018 9:00,5.757,17.18009091,17.1316,17.665,0.3340624
11/2/2018 10:00,7.481,17.36172727,17.3219,17.76,0
11/2/2018 11:00,9.176,17.02418182,17.0458,16.808,0
11/2/2018 12:00,9.275,16.75563636,16.7885,16.427,0
11/2/2018 13:00,9.768,16.67745455,16.712,16.332,0
11/2/2018 14:00,10.063,16.53054545,16.5504,16.332,0
11/2/2018 15:00,9.866,16.25336364,16.2932,15.855,0
11/2/2018 16:00,7.481,15.98481818,16.0264,15.569,0
11/2/2018 17:00,5.655,15.73327273,15.7688,15.378,0
11/2/2018 18:00,5.244,15.49027273,15.5302,15.091,13.47385013
11/2/2018 19:00,5.347,16.94654545,16.9794,16.618,1.447603734
11/2/2018 20:00,5.86,17.10218182,17.084,17.284,7.460726933
11/2/2018 21:00,6.471,17.20627273,17.1985,17.284,1.781666133
11/2/2018 22:00,6.166,17.35336364,17.3222,17.665,0.556770667
11/2/2018 23:00,6.775,16.87745455,16.8749,16.903,0
11/3/2018 0:00,7.179,16.40109091,16.4175,16.237,0
11/3/2018 1:00,7.179,16.06318182,16.0935,15.76,0
